Ngày sinh,Thủy Nhị Cục,Mộc Tam Cục,Kim Tứ Cục,Thổ Ngũ Cục,Hỏa Lục Cục
1,Sửu,Thìn,Hợi,Ngọ,Dậu
2,Dần,Sửu,Thìn,Hợi,Ngọ
3,Dần,Dần,Sửu,Thìn,Hợi
4,Mão,Tỵ,Dần,Sửu,Thìn
5,Mão,Dần,Tý,Dần,Sửu
6,Thìn,Mão,Tỵ,Mùi,Dần
7,Thìn,Ngọ,Dần,Tý,Tuất
8,Tỵ,Mão,Mão,Tỵ,Mùi
9,Tỵ,Thìn,Sửu,Dần,Tý
10,Ngọ,Mùi,Ngọ,Mão,Tỵ
11,Ngọ,Thìn,Mão,Thân,Dần
12,Mùi,Tỵ,Thìn,Sửu,Mão
13,Mùi,Thân,Dần,Ngọ,Hợi
14,Thân,Tỵ,Mùi,Mão,Thân
15,Thân,Ngọ,Thìn,Thìn,Sửu
16,Dậu,Dậu,Tỵ,Dậu,Ngọ
17,Dậu,Ngọ,Mão,Dần,Mão
18,Tuất,Mùi,Thân,Mùi,Thìn
19,Tuất,Tuất,Tỵ,Thìn,Tý
20,Hợi,Mùi,Ngọ,Tỵ,Dậu
21,Hợi,Thân,Thìn,Tuất,Dần
22,Tý,Hợi,Dậu,Mão,Mùi
23,Tý,Thân,Ngọ,Thân,Thìn
24,Sửu,Dậu,Mùi,Tỵ,Tỵ
25,Sửu,Tý,Tỵ,Ngọ,Sửu
26,Dần,Dậu,Tuất,Hợi,Tuất
27,Dần,Tuất,Mùi,Thìn,Mão
28,Mão,Sửu,Thân,Dậu,Thân
29,Mão,Tuất,Ngọ,Ngọ,Tỵ
30,Thìn,Hợi,Hợi,Mùi,Ngọ