Tháng \ Giờ,Tý,Sửu,Dần,Mão,Thìn,Tỵ,Ngọ,Mùi,Thân,Dậu,Tuất,Hợi
1,Dần,Sửu,Tý,Hợi,Tuất,Dậu,Thân,Mùi,Ngọ,Tỵ,Thìn,Mão
2,Mão,Dần,Sửu,Tý,Hợi,Tuất,Dậu,Thân,Mùi,Ngọ,Tỵ,Thìn
3,Thìn,Mão,Dần,Sửu,Tý,Hợi,Tuất,Dậu,Thân,Mùi,Ngọ,Tỵ
4,Tỵ,Thìn,Mão,Dần,Sửu,Tý,Hợi,Tuất,Dậu,Thân,Mùi,Ngọ
5,Ngọ,Tỵ,Thìn,Mão,Dần,Sửu,Tý,Hợi,Tuất,Dậu,Thân,Mùi
6,Mùi,Ngọ,Tỵ,Thìn,Mão,Dần,Sửu,Tý,Hợi,Tuất,Dậu,Thân
7,Thân,Mùi,Ngọ,Tỵ,Thìn,Mão,Dần,Sửu,Tý,Hợi,Tuất,Dậu
8,Dậu,Thân,Mùi,Ngọ,Tỵ,Thìn,Mão,Dần,Sửu,Tý,Hợi,Tuất
9,Tuất,Dậu,Thân,Mùi,Ngọ,Tỵ,Thìn,Mão,Dần,Sửu,Tý,Hợi
10,Hợi,Tuất,Dậu,Thân,Mùi,Ngọ,Tỵ,Thìn,Mão,Dần,Sửu,Tý
11,Tý,Hợi,Tuất,Dậu,Thân,Mùi,Ngọ,Tỵ,Thìn,Mão,Dần,Sửu
12,Sửu,Tý,Hợi,Tuất,Dậu,Thân,Mùi,Ngọ,Tỵ,Thìn,Mão,Dần