Sao,Loại sao,Bộ phận cơ thể,Ý nghĩa,Ghi chú
Tử vi,Chính tinh,lục phủ ngũ tạng,"Dáng người, cân nặng, thế đi đứng, oai phong.",
Thiên Phủ,Chính tinh,,,
Vũ Khúc,Chính tinh,"mũi, lườn, cánh tay","Khả năng nghệ thuật, tài chính.",
Thiên Tướng,Chính tinh,cái đầu,"Khả năng lãnh đạo, sai khiến người khác, năng lực quân sự.",
Thiên Cơ,Chính tinh,"trán, phần mày mắt","Trí tuệ, khả năng tính toán và tổ chức.",
Thiên Lương,Chính tinh,cột sống và nhân trung,Lương tâm,
Thiên Đồng,Chính tinh,phần dưới hai gò má và bụng,Lượng mỡ trong người.,
Thái Âm,Chính tinh,Đôi mắt,"thần thái, khả năng tình dục, sự thể hiện tình cảm và nhân sinh quan",
Thái Dương,Chính tinh,,,
Cự Môn,Chính tinh,"miệng, hậu môn, bộ phận dưới","Khả năng kháng cự, ngôn ngữ.",
Thất Sát,Chính tinh,"hàm răng, xương và tính chất của bàn tay","Tính cương quyết, dám làm dám chịu, trả đũa hay sát phạt.",
Liêm Trinh,Chính tinh,"phần xương cốt trên khuôn mặt, thần thái uy nghiêm trên toàn bộ cơ thể","Cá tính, lập trường và uy nghiêm.",
Tham Lang,Chính tinh,"phần thân dưới, những bộ phận nở nang","Nhu cầu vật chất, nhu cầu tình dục, lòng tham.",
Phá Quân,Chính tinh,ấn đường và hai chân mày,"Tính quật cường, làm phản, lập dị.",
Văn Xương,Phụ tá diệu,"Xương, khớp","Tình cảm, năng lực tưởng tượng",
Văn Khúc,Phụ tá diệu,"Xương, khớp","Tình cảm, năng lực tưởng tượng",
Tả Phụ,Phụ tá diệu,"Đôi vai, đôi tay","Khả năng nhường nhịn, vị tha và thích ứng",
Hữu Bật,Phụ tá diệu,"Đôi vai, đôi tay","Khả năng nhường nhịn, vị tha và thích ứng",
Thiên Khôi,Phụ tá diệu,Khu vực đầu mặt,Vẻ sang trọng,
Thiên Việt,Phụ tá diệu,Khu vực đầu mặt,Vẻ sang trọng,
Lộc Tồn,Phụ tá diệu,,,
Thiên Mã,Phụ tá diệu,,,
Địa Không,Sát tinh,,,
Địa Kiếp,Sát tinh,,,
Kình Dương,Sát tinh,,,
Đà La,Sát tinh,,,
Hỏa Tinh,Sát tinh,,,
Linh Tinh,Sát tinh,,,
Hóa Lộc,Tứ Hóa,"Tóc, râu","Khả năng buôn bán, kiếm lợi từ ngoài thiên hạ",
Hóa Quyền,Tứ Hóa,Gò má,"Khả năng quyết định, làm chủ",
Hóa Khoa,Tứ Hóa,"Bộ não, sự đầy đặn rộng rãi của vầng trán",Tư duy tri thức,
Hóa Kỵ,Tứ Hóa,"Cái lưỡi, đôi môi","Tính đố kỵ, nghi ngờ, đối nghịch",